COUNTYNAME,DATETIME,DATE,LON,LAT,PK
Burlington,3/31/2013 4:15:03 PM,3/31/2013,-74.99627,39.96339,765
Burlington,5/12/2013 11:54:47 AM,5/12/2013,-75.03922,40.00718,766
Camden,8/15/2013 3:52:04 PM,8/15/2013,-74.9309,39.80104,767
Atlantic,5/12/2013 3:55:33 PM,5/12/2013,-74.42125,39.36296,768
Camden,8/15/2013 2:29:50 PM,8/15/2013,-75.06564,39.9335,769
Atlantic,3/31/2013 3:24:01 PM,3/31/2013,-74.55733,39.41571,770
Atlantic,1/1/2013 5:08:53 PM,1/1/2013,-74.4371,39.35983,771
Burlington,2/14/2013 12:56:50 PM,2/14/2013,-74.95227,39.92568,772
Burlington,5/12/2013 12:07:54 PM,5/12/2013,-74.9221,39.88342,773
Atlantic,3/31/2013 3:09:19 PM,3/31/2013,-74.42153,39.36434,774
Burlington,2/14/2013 1:02:20 PM,2/14/2013,-74.92412,39.88857,775
Camden,5/10/2013 2:17:29 PM,5/10/2013,-75.0172,39.9828,776
Burlington,5/12/2013 12:04:50 PM,5/12/2013,-74.9412,39.91099,777
Camden,3/31/2013 3:49:28 PM,3/31/2013,-74.89685,39.71472,778
Camden,3/31/2013 3:49:28 PM,3/31/2013,-74.89685,39.71472,779
Burlington,12/31/2013 5:39:54 PM,12/31/2013,-74.98732,39.9515,780
Atlantic,6/16/2013 12:48:17 PM,6/16/2013,-74.41998,39.36378,781
Camden,12/31/2013 6:53:20 PM,12/31/2013,-74.87743,39.65174,782
Atlantic,1/1/2013 3:08:06 PM,1/1/2013,-74.42102,39.36355,783
Burlington,10/14/2013 8:52:23 PM,10/14/2013,-74.99591,39.9632,784
Burlington,3/31/2013 4:06:49 PM,3/31/2013,-74.92834,39.89472,785
Camden,5/10/2013 2:32:24 PM,5/10/2013,-75.03026,39.93748,786
Camden,8/6/2013 12:10:18 PM,8/6/2013,-74.92549,39.83731,787
Camden,5/10/2013 2:21:56 PM,5/10/2013,-75.02721,39.9516,788
Atlantic,1/1/2013 4:52:48 PM,1/1/2013,-74.42146,39.36429,789
Burlington,1/1/2014 8:53:50 PM,1/1/2014,-74.9222,39.88545,790
Camden,5/10/2013 2:33:00 PM,5/10/2013,-75.02889,39.93624,791
Camden,5/12/2013 9:08:35 PM,5/12/2013,-74.92724,39.82822,792
Camden,12/12/2013 1:45:32 PM,12/12/2013,-74.93027,39.8139,793
Atlantic,1/1/2013 5:13:29 PM,1/1/2013,-74.48043,39.37656,794
Atlantic,10/14/2013 3:11:53 PM,10/14/2013,-74.51117,39.39315,795
Camden,1/25/2014 2:47:59 PM,1/25/2014,-75.02633,39.95587,796
Camden,12/31/2013 5:55:39 PM,12/31/2013,-74.92254,39.85036,797
Camden,8/15/2013 2:49:29 PM,8/15/2013,-75.02406,39.93762,798
Camden,5/12/2013 8:54:27 PM,5/12/2013,-74.91887,39.79297,799
Camden,8/6/2013 9:15:30 PM,8/6/2013,-75.02181,39.98817,800
Atlantic,5/12/2013 8:06:06 PM,5/12/2013,-74.42057,39.36392,801
Burlington,8/15/2013 4:07:32 PM,8/15/2013,-74.95116,39.92507,802
Camden,10/14/2013 9:11:30 PM,10/14/2013,-75.02287,39.98765,803
Burlington,10/14/2013 2:10:45 PM,10/14/2013,-74.94684,39.92055,804
Camden,1/25/2014 2:48:19 PM,1/25/2014,-75.02688,39.95348,805
Atlantic,12/12/2013 2:48:33 PM,12/12/2013,-74.43899,39.36024,806
Camden,3/22/2013 2:49:35 PM,3/22/2013,-75.02948,39.93368,807
Camden,5/12/2013 8:44:56 PM,5/12/2013,-74.88724,39.6793,808
Camden,8/15/2013 2:59:38 PM,8/15/2013,-75.02903,39.94283,809
Burlington,2/14/2013 12:53:01 PM,2/14/2013,-74.95711,39.92894,810
Camden,9/2/2013 11:59:39 AM,9/2/2013,-74.9103,39.78745,811
Camden,12/12/2013 10:29:33 PM,12/12/2013,-75.02704,39.99198,812
Burlington,2/11/2013 6:48:29 PM,2/11/2013,-75.03631,40.00143,813
Atlantic,1/1/2014 1:32:52 PM,1/1/2014,-74.51104,39.39285,814
Camden,3/22/2013 5:08:47 PM,3/22/2013,-75.02651,39.95443,815
Camden,2/11/2013 6:21:26 PM,2/11/2013,-75.02713,39.9449,816
Camden,1/25/2014 2:59:56 PM,1/25/2014,-75.02682,39.9456,817
Camden,12/12/2013 12:56:34 PM,12/12/2013,-75.0231,39.98791,818
Camden,9/2/2013 6:16:02 PM,9/2/2013,-74.92324,39.84657,819
Burlington,12/12/2013 10:02:56 PM,12/12/2013,-74.94037,39.90991,820
Burlington,10/14/2013 9:14:51 PM,10/14/2013,-75.03796,40.00642,821
Atlantic,3/31/2013 12:39:18 PM,3/31/2013,-74.43485,39.36023,822
Burlington,8/6/2013 11:50:34 AM,8/6/2013,-74.95304,39.92611,823
Camden,1/25/2014 2:59:56 PM,1/25/2014,-75.02682,39.9456,824
Camden,1/1/2013 6:16:49 PM,1/1/2013,-75.02168,39.98789,825
Camden,2/11/2013 3:25:05 PM,2/11/2013,-75.01729,39.98287,826
Atlantic,10/14/2013 7:48:24 PM,10/14/2013,-74.51112,39.39367,827
Atlantic,5/12/2013 8:13:12 PM,5/12/2013,-74.43516,39.35936,828
Burlington,2/14/2013 12:56:03 PM,2/14/2013,-74.95354,39.92652,829
Camden,1/25/2014 2:44:14 PM,1/25/2014,-75.02358,39.98901,830
Camden,2/14/2013 6:00:33 PM,2/14/2013,-74.92088,39.79448,831
Camden,5/10/2013 5:01:15 PM,5/10/2013,-75.02473,39.9445,832
Camden,8/23/2013 2:05:48 PM,8/23/2013,-75.02219,39.97479,833
Camden,1/25/2014 2:48:19 PM,1/25/2014,-75.02688,39.95348,834
Atlantic,8/6/2013 5:55:26 PM,8/6/2013,-74.42117,39.36368,835
